,device,gpa,semester,degree,age,sex,stress,coping_1,coping_2,coping_3,coping_4,coping_5,coping_6,coping_7,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,week_1,week_2,week_3,week_4,week_5,week_6,yesterday_1,yesterday_2,yesterday_3,yesterday_4,yesterday_5,yesterday_6,yesterday_typical,enough_1,enough_2,enough_3,enough_4,enough_5,enough_6,survey_time,cast
855,mobile,2.9000000953674316,10.0,1.0,31.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,6.0,2.5,18.0,2.0,1.0,5.5,8.0,2.0,0.0,0.0,1.0,6.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,5.0,work
856,pc/laptop,2.799999952316284,13.0,2.0,26.0,2.0,7.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,4.0,4.0,4.0,37.5,30.0,0.0,10.0,5.0,50.0,6.0,3.0,0.0,2.0,1.0,7.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,study
857,pc/laptop,1.5,6.0,1.0,22.0,2.0,7.0,4.0,3.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,0.0,30.0,16.0,3.0,28.0,50.0,0.0,0.0,4.0,0.5,10.5,9.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,10.0,study
858,pc/laptop,,6.0,3.0,28.0,1.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,3.0,20.0,8.0,6.0,50.0,0.0,0.0,0.0,1.0,3.0,7.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,10.0,work
859,mobile,,8.0,3.0,24.0,2.0,6.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,48.0,4.0,5.0,10.0,50.0,0.0,8.5,0.0,1.0,0.0,7.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,6.0,study
860,pc/laptop,,12.0,2.0,24.0,2.0,5.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,15.0,15.0,10.0,5.0,30.0,50.0,0.0,0.0,0.0,2.0,14.0,8.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,10.0,study
861,pc/laptop,2.0,12.0,2.0,25.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,14.0,24.0,0.0,7.0,50.0,50.0,4.0,4.0,0.0,1.0,1.0,8.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,5.0,study
862,mobile,3.0,2.0,1.0,18.0,2.0,3.0,3.0,2.0,1.0,,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,13.5,6.0,6.0,1.0,8.0,50.0,6.0,2.0,0.0,0.5,1.5,8.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,study
863,pc/laptop,1.899999976158142,2.0,1.0,27.0,1.0,6.0,3.0,2.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,4.0,20.0,7.0,15.0,5.0,15.0,50.0,0.0,2.0,4.0,1.0,3.0,8.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,10.0,study
864,mobile,,2.0,4.0,25.0,2.0,5.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,30.0,7.0,5.0,0.5,3.0,50.0,0.0,3.0,0.0,0.5,9.0,7.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,8.0,study
865,pc/laptop,,,,,,5.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,3.0,3.0,30.0,30.0,0.0,2.0,3.0,50.0,,,,,,,,,,,,,,,study
866,pc/laptop,,,,,,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,50.0,,,,,,,,,,,,,,,study
867,pc/laptop,,,,,,4.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,20.0,5.0,60.0,50.0,,,,,,,,,,,,,,,work
868,pc/laptop,1.2999999523162842,8.0,2.0,22.0,2.0,6.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,12.0,2.0,0.0,3.0,21.0,50.0,0.0,0.0,0.0,1.0,3.0,8.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,10.0,study
869,pc/laptop,,10.0,3.0,25.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,6.0,12.0,3.0,3.0,10.0,50.0,3.0,3.0,0.0,0.0,5.0,8.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,10.0,study
870,mobile,,7.0,4.0,23.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,25.0,10.0,20.0,5.0,25.0,50.0,0.0,6.0,6.0,0.0,2.0,5.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,10.0,study
871,pc/laptop,2.0999999046325684,4.0,1.0,21.0,1.0,5.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,24.0,24.0,15.0,10.0,10.0,50.0,4.0,5.0,4.0,2.0,2.0,7.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,10.0,study
872,pc/laptop,,,,,,3.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,6.0,4.0,3.0,10.0,50.0,,,,,,,,,,,,,,,study
873,pc/laptop,,,,,,5.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,3.0,3.0,1.0,18.0,15.0,10.0,7.0,15.0,50.0,,,,,,,,,,,,,,,study
874,pc/laptop,2.0,12.0,2.0,26.0,2.0,5.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,4.0,4.0,1.0,4.0,4.0,2.0,4.0,2.0,3.0,20.0,14.0,1.5,4.0,50.0,0.0,2.0,6.0,0.10000000149011612,0.5,8.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,5.0,study
875,pc/laptop,1.100000023841858,12.0,2.0,25.0,2.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,16.0,14.0,4.0,50.0,0.0,0.0,0.0,2.0,5.0,10.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,5.0,work
876,pc/laptop,,14.0,5.0,25.0,1.0,5.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,35.0,8.0,25.0,50.0,0.0,0.0,0.0,1.0,7.0,9.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,5.0,work
877,pc/laptop,2.200000047683716,10.0,1.0,23.0,2.0,5.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,3.0,2.0,4.0,17.0,16.0,6.0,4.0,30.0,50.0,4.0,6.0,0.0,0.5,3.0,7.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,10.0,study
878,mobile,2.200000047683716,4.0,1.0,19.0,2.0,7.0,3.0,3.0,1.0,3.0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,16.0,7.0,0.0,2.0,8.0,50.0,2.0,1.0,0.0,1.0,6.0,9.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,10.0,study
879,mobile,,8.0,3.0,23.0,1.0,6.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,50.0,3.0,2.0,2.5,50.0,0.0,8.0,0.0,1.0,1.5,6.0,2.0,,3.0,2.0,2.0,1.0,1.0,5.0,study
880,pc/laptop,,2.0,4.0,19.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,10.0,5.0,4.0,3.0,16.0,50.0,3.0,0.0,0.0,1.5,4.0,7.5,2.0,2.0,1.0,2.0,2.0,2.0,2.0,9.0,study
881,mobile,2.0,4.0,1.0,20.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,8.0,12.0,50.0,0.0,0.0,0.0,3.0,6.0,8.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,study
882,tablet,,8.0,4.0,23.0,1.0,6.0,3.0,2.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,2.0,20.0,20.0,20.0,5.0,10.0,50.0,4.0,6.0,0.0,1.0,1.0,7.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,5.0,study
883,pc/laptop,1.7000000476837158,2.0,1.0,19.0,1.0,7.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,43.0,8.0,0.0,1.0,15.0,50.0,10.0,1.0,0.0,0.5,0.0,7.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,15.0,study
884,tablet,2.5999999046325684,2.0,1.0,31.0,1.0,6.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,14.0,45.0,0.0,5.0,4.0,50.0,8.0,8.0,0.0,0.5,1.0,5.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,15.0,study
885,pc/laptop,1.100000023841858,10.0,2.0,23.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,26.0,0.0,15.0,75.0,50.0,0.0,4.0,0.0,3.0,11.0,6.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,7.0,study
886,mobile,,7.0,3.0,23.0,2.0,6.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0,,4.0,0.0,45.0,0.0,3.0,15.0,50.0,0.0,7.0,0.0,0.5,2.0,8.0,4.0,2.0,3.0,1.0,2.0,1.0,2.0,15.0,study
887,pc/laptop,,12.0,3.0,25.0,1.0,5.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,14.0,30.0,15.0,10.0,10.0,50.0,2.0,2.0,8.0,0.5,0.0,5.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,study
888,pc/laptop,1.5,10.0,2.0,25.0,2.0,5.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,4.0,3.0,2.0,1.0,50.0,10.0,3.0,1.0,50.0,0.0,12.0,0.0,1.0,0.0,7.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,study
889,mobile,,6.0,4.0,21.0,2.0,5.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,15.0,35.0,13.0,7.0,2.5,50.0,3.0,8.0,1.0,0.0,0.0,7.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,10.0,study
890,pc/laptop,3.0,8.0,1.0,23.0,2.0,7.0,3.0,2.0,1.0,2.0,4.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,1.0,5.0,40.0,0.0,5.0,10.0,50.0,0.0,4.0,0.0,1.0,6.0,7.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,7.0,study
891,pc/laptop,,8.0,3.0,22.0,2.0,6.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,20.0,0.0,8.0,16.0,50.0,0.0,0.0,0.0,2.0,8.0,8.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,study
892,pc/laptop,,10.0,3.0,29.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,3.0,4.0,4.0,8.0,30.0,0.0,2.0,10.0,50.0,2.0,0.0,0.0,0.0,1.0,7.0,1.0,2.0,1.0,,2.0,1.0,1.0,15.0,study
893,pc/laptop,2.4000000953674316,4.0,1.0,21.0,2.0,6.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,4.0,1.0,18.0,20.0,2.0,2.0,4.0,50.0,6.0,4.0,0.0,0.0,0.0,7.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,10.0,study
894,mobile,,8.0,3.0,22.0,2.0,6.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,25.0,8.0,7.0,3.0,15.0,50.0,5.0,4.0,0.0,0.5,2.0,7.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,study
895,pc/laptop,2.799999952316284,10.0,1.0,24.0,1.0,5.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,8.0,8.0,8.0,4.0,14.0,50.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,10.0,study
896,mobile,1.5,10.0,2.0,27.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,4.0,25.0,10.0,15.0,7.0,10.0,50.0,0.0,4.0,1.0,1.0,1.0,8.0,,2.0,2.0,2.0,2.0,2.0,2.0,5.0,study
897,pc/laptop,1.100000023841858,16.0,2.0,30.0,2.0,7.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,12.0,35.0,10.0,6.0,12.0,50.0,0.0,4.0,0.0,2.0,10.0,8.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,10.0,study
898,pc/laptop,,11.0,3.0,25.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,,3.0,4.0,2.0,3.0,3.0,3.0,3.0,8.0,20.0,19.0,8.0,21.0,50.0,0.0,4.0,7.5,1.0,2.0,7.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,10.0,study
899,pc/laptop,1.5,8.0,1.0,22.0,2.0,7.0,3.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,4.0,1.0,20.0,20.0,12.0,4.0,15.0,50.0,2.0,4.0,4.0,1.0,2.0,7.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,study
900,mobile,,20.0,6.0,34.0,2.0,6.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,10.0,6.0,30.0,2.0,2.0,50.0,2.0,2.0,8.0,0.5,0.0,8.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,work
901,pc/laptop,1.600000023841858,10.0,2.0,25.0,2.0,4.0,4.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,12.0,10.0,10.0,5.0,16.0,50.0,0.0,0.0,4.0,1.0,6.0,10.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,10.0,study
902,mobile,,4.0,3.0,20.0,2.0,4.0,3.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,14.0,16.0,0.0,2.0,10.0,50.0,11.0,1.0,0.0,0.0,1.0,8.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,12.0,study
903,tablet,1.899999976158142,4.0,1.0,22.0,1.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,11.0,16.0,16.0,4.0,8.0,50.0,0.0,2.0,8.0,0.5,0.0,8.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,study
904,pc/laptop,,6.0,3.0,21.0,2.0,5.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,30.0,20.0,0.0,5.0,15.0,50.0,0.0,4.0,0.0,0.0,10.0,10.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,8.0,study
905,pc/laptop,,6.0,2.0,25.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,1.0,0.0,1.0,4.0,50.0,6.0,0.0,0.0,0.0,2.0,8.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,10.0,study
906,pc/laptop,1.899999976158142,10.0,2.0,24.0,2.0,6.0,3.0,3.0,1.0,2.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,16.0,20.0,0.0,15.0,10.0,50.0,1.0,2.0,0.0,3.0,0.0,7.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,8.0,study
907,mobile,2.0,4.0,1.0,21.0,2.0,5.0,4.0,4.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,12.0,17.0,5.0,5.0,25.0,50.0,,,,,,,2.0,2.0,3.0,2.0,2.0,1.0,1.0,6.0,study
908,pc/laptop,1.2999999523162842,2.0,1.0,21.0,2.0,5.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,16.0,4.0,0.0,1.0,4.0,50.0,0.0,2.0,0.0,0.0,4.0,8.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,10.0,study
909,tablet,,6.0,3.0,22.0,2.0,4.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,20.0,8.0,0.0,3.0,10.0,50.0,0.0,2.0,0.0,0.0,8.0,7.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,10.0,study
910,pc/laptop,,2.0,3.0,22.0,2.0,5.0,2.0,3.0,1.0,3.0,4.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,2.0,14.0,30.0,0.0,8.0,15.0,50.0,0.0,4.0,0.0,2.0,9.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,study
911,pc/laptop,2.0,7.0,1.0,23.0,2.0,1.0,4.0,3.0,1.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,6.0,4.0,1.0,3.0,4.0,50.0,0.0,1.0,0.0,1.0,3.0,9.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,9.0,study
912,pc/laptop,1.899999976158142,10.0,2.0,24.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,0.0,15.0,4.0,20.0,50.0,0.0,0.0,0.0,1.5,5.0,8.5,2.0,2.0,2.0,3.0,2.0,1.0,2.0,6.0,work
913,pc/laptop,1.7999999523162842,6.0,1.0,23.0,2.0,5.0,3.0,4.0,3.0,2.0,1.0,3.0,3.0,4.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,10.0,8.0,12.0,4.0,8.0,50.0,2.0,4.0,0.0,0.5,2.0,8.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,10.0,study
914,pc/laptop,1.149999976158142,10.0,2.0,24.0,2.0,6.0,2.0,4.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,13.0,12.0,13.0,3.0,6.0,50.0,0.0,3.0,0.0,1.0,3.0,9.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,25.0,study
915,pc/laptop,,6.0,3.0,24.0,2.0,4.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,10.0,15.0,12.0,3.0,10.0,50.0,2.0,4.0,0.0,1.0,4.0,7.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,study
916,pc/laptop,,14.0,2.0,27.0,1.0,4.0,3.0,3.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,12.0,5.0,0.0,4.0,10.0,50.0,6.0,0.0,0.0,1.0,2.0,8.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,study
917,pc/laptop,2.5,10.0,2.0,23.0,2.0,6.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,3.0,1.0,20.0,20.0,10.0,9.0,5.0,50.0,,7.0,5.0,3.0,2.0,9.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,10.0,study
918,pc/laptop,1.7999999523162842,8.0,1.0,24.0,2.0,7.0,2.0,4.0,1.0,2.0,4.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,4.0,4.0,3.0,5.0,50.0,10.0,3.0,10.0,50.0,2.0,12.0,0.0,0.0,1.0,6.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,6.0,study
919,pc/laptop,,9.0,3.0,24.0,2.0,5.0,3.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,3.0,2.0,0.0,35.0,15.0,7.0,20.0,50.0,0.0,7.0,0.0,1.0,5.0,8.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,5.0,study
920,pc/laptop,,6.0,3.0,22.0,2.0,5.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,3.0,2.0,14.0,10.0,12.0,10.0,72.0,50.0,0.0,8.0,0.0,3.0,5.0,8.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,study
921,pc/laptop,1.7999999523162842,4.0,1.0,20.0,2.0,4.0,3.0,4.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,9.0,12.0,12.0,10.0,15.0,50.0,4.0,2.0,1.0,1.5,2.0,7.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,8.0,study
922,pc/laptop,2.700000047683716,2.0,1.0,21.0,2.0,6.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,22.0,30.0,0.0,15.0,15.0,50.0,0.0,10.0,0.0,1.0,2.0,8.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,10.0,study
923,pc/laptop,2.299999952316284,4.0,1.0,21.0,1.0,6.0,2.0,4.0,1.0,3.0,4.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,26.0,15.0,15.0,10.0,25.0,50.0,6.0,2.0,5.0,1.0,3.0,7.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,20.0,study
924,pc/laptop,,8.0,4.0,23.0,1.0,6.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,5.0,30.0,7.0,5.0,8.0,50.0,2.0,5.0,0.0,1.0,2.0,7.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,7.0,study
925,pc/laptop,,4.0,6.0,21.0,2.0,4.0,3.0,3.0,1.0,3.0,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,27.0,14.0,1.0,7.0,19.0,50.0,0.0,4.0,0.0,1.0,2.0,8.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,15.0,study
926,pc/laptop,1.399999976158142,4.0,1.0,22.0,2.0,5.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,18.0,18.0,0.0,5.0,10.0,50.0,0.0,6.0,0.0,0.5,3.0,7.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,10.0,study
927,pc/laptop,,10.0,6.0,24.0,2.0,5.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,20.0,5.0,8.0,15.0,20.0,50.0,8.0,2.0,0.0,2.0,3.0,9.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,10.0,study
928,pc/laptop,1.600000023841858,2.0,1.0,19.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,13.0,10.0,0.0,3.0,15.0,50.0,2.0,1.0,0.0,0.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,study
929,pc/laptop,3.0999999046325684,9.0,1.0,24.0,1.0,5.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,4.0,3.0,14.0,20.0,12.0,1.0,20.0,50.0,4.5,2.0,0.0,0.0,2.0,6.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,5.0,study
930,pc/laptop,,6.0,3.0,22.0,2.0,6.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,17.0,40.0,0.0,3.0,7.0,50.0,4.0,6.0,0.0,1.0,2.0,8.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,10.0,study
931,mobile,,2.0,3.0,20.0,2.0,5.0,2.0,2.0,3.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,25.0,10.0,0.0,15.0,8.0,50.0,9.0,0.0,0.0,5.0,0.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,10.0,study
932,mobile,,2.0,1.0,20.0,1.0,6.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,4.0,10.0,5.0,10.0,2.0,2.0,50.0,0.0,0.0,8.0,0.0,0.0,7.5,2.0,2.0,1.0,3.0,1.0,1.0,1.0,,study
933,mobile,2.200000047683716,2.0,1.0,21.0,2.0,7.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,,,,,,,,,15.0,15.0,6.0,5.0,8.0,50.0,3.0,6.0,0.0,1.0,5.0,8.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,10.0,study
934,mobile,,10.0,3.0,24.0,1.0,5.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,25.0,20.0,0.0,3.0,15.0,50.0,10.0,1.0,0.0,0.0,0.5,7.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,10.0,study
935,mobile,2.799999952316284,6.0,1.0,22.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,10.5,4.0,11.0,6.0,15.0,50.0,3.0,0.0,3.5,0.5,2.0,7.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,20.0,study
